id,tipoIncidencia,fechaReporte,estado,UsuarioID,MantenimientoID,nivelEscalamiento,tiempoResolucion
3398,mal funcionamiento,2024-03-17,cerrada,"['334-40-6369', '374-61-4080']","['mnt-08825', 'mnt-14509']",bajo,-1
3399,mal funcionamiento,2024-03-25,abierta,['533-75-4757'],"['mnt-05435', 'mnt-09383', 'mnt-13172']",bajo,-1
3400,vandalismo,2024-10-08,cerrada,['802-78-4696'],['mnt-14042'],bajo,-1
3401,rotura,2024-03-23,abierta,"['139-93-3448', '153-98-2356']",['mnt-13629'],medio,-1
3402,mal funcionamiento,2024-05-12,abierta,"['460-52-8177', '515-47-6925', '772-80-5125']","['mnt-05530', 'mnt-11294']",bajo,-1
3403,desgaste,2024-03-14,cerrada,"['216-77-1965', '207-06-9690', '223-38-3180']",['mnt-14828'],alto,78
3404,mal funcionamiento,2023-11-14,abierta,['837-68-8405'],['mnt-06588'],alto,-1
3405,rotura,2023-12-16,cerrada,"['372-20-0276', '658-35-2539', '134-85-3338']",['mnt-08572'],alto,88
3406,rotura,2024-05-16,abierta,"['775-39-2123', '237-54-8980', '013-05-0891']",['mnt-11228'],bajo,-1
3407,desgaste,2024-08-31,abierta,"['970-31-4328', '440-12-8778']","['mnt-07973', 'mnt-08658']",medio,-1
3408,rotura,2024-08-25,cerrada,['834-05-5470'],['mnt-08993'],bajo,25
3409,rotura,2024-07-21,cerrada,['612-37-3694'],['mnt-04775'],medio,-1
3410,desgaste,2024-01-26,abierta,"['384-49-6427', '634-96-2225']",['mnt-00434'],medio,-1
3411,rotura,2023-12-06,cerrada,"['673-64-0821', '523-73-4025']",['mnt-10113'],medio,45
3412,rotura,2024-01-05,abierta,"['073-05-9408', '022-51-1348']",['mnt-01732'],alto,-1
3413,desgaste,2024-02-07,abierta,"['246-14-0924', '269-57-9381', '608-71-7540']",['mnt-04791'],bajo,-1
3414,mal funcionamiento,2024-02-16,cerrada,['903-02-3157'],"['mnt-08469', 'mnt-14740']",medio,141
3415,rotura,2023-12-30,abierta,['198-47-6401'],['mnt-10731'],medio,-1
3416,vandalismo,2024-06-21,cerrada,"['006-77-2596', '076-37-8316', '647-10-5849']","['mnt-10677', 'mnt-11548']",bajo,-1
3417,vandalismo,2023-10-16,cerrada,"['296-43-3824', '099-96-8007', '332-38-9018']",['mnt-12100'],bajo,325
3418,mal funcionamiento,2024-06-13,abierta,['014-14-0644'],['mnt-09664'],bajo,-1
3419,rotura,2024-03-24,abierta,"['230-64-0230', '581-89-9430', '899-87-7310']",['mnt-01791'],medio,-1
3420,desgaste,2024-01-20,abierta,"['206-06-1570', '140-12-4409']",['mnt-08923'],bajo,-1
3421,vandalismo,2023-10-12,abierta,"['119-40-2394', '161-91-5585', '621-79-3411']",['mnt-14236'],medio,-1
3422,vandalismo,2024-01-24,cerrada,"['024-66-2024', '887-79-2189', '879-83-7214']",['mnt-08141'],bajo,176
3423,rotura,2024-08-12,cerrada,"['618-05-1570', '058-48-7052', '440-53-9541']",['mnt-09488'],alto,44
3424,desgaste,2024-02-25,abierta,['347-62-5546'],['mnt-07645'],alto,-1
3425,mal funcionamiento,2024-04-05,abierta,['336-04-3719'],['mnt-01155'],bajo,-1
3426,rotura,2024-02-09,abierta,"['407-80-1830', '483-66-0424']",['mnt-00462'],bajo,-1
3427,rotura,2023-12-04,cerrada,['416-45-3560'],['mnt-11354'],medio,297
3428,vandalismo,2024-03-29,cerrada,['913-71-6806'],"['mnt-03625', 'mnt-08545']",medio,133
3429,rotura,2024-06-16,cerrada,"['116-34-6205', '511-40-0966', '551-44-6637']",['mnt-12629'],alto,0
3430,vandalismo,2023-12-09,abierta,"['702-46-1298', '233-50-4520']",['mnt-14891'],bajo,-1
3431,desgaste,2023-11-18,abierta,"['157-45-5985', '747-37-5267']",['mnt-03698'],alto,-1
3432,desgaste,2024-07-20,cerrada,"['226-35-3441', '990-81-4700', '636-83-7601']",['mnt-03074'],medio,-1
3433,desgaste,2024-10-06,abierta,"['523-87-5555', '401-30-7646', '872-92-6272']",['mnt-08906'],alto,-1
3434,vandalismo,2023-11-09,cerrada,"['715-38-7571', '923-04-8082']",['mnt-00880'],alto,33
3435,vandalismo,2024-02-06,abierta,"['995-00-3586', '724-87-2069', '005-53-2474']",['mnt-10684'],alto,-1
3436,rotura,2024-03-14,abierta,"['512-71-5181', '992-43-3551']",['mnt-07299'],medio,-1
3437,rotura,2024-11-10,cerrada,"['157-54-5781', '460-43-2044']","['mnt-03208', 'mnt-08841']",bajo,-1
3438,rotura,2024-02-01,cerrada,"['924-66-4183', '808-08-6639']",['mnt-09224'],bajo,-1
3439,mal funcionamiento,2024-01-14,cerrada,['494-30-4726'],"['mnt-02197', 'mnt-11035', 'mnt-13321']",bajo,255
3440,rotura,2024-03-30,cerrada,"['350-51-3714', '118-34-8200', '241-30-6067']",['mnt-03630'],bajo,28
3441,vandalismo,2024-07-10,abierta,"['848-13-2006', '151-95-7366', '074-99-3281']",['mnt-04436'],medio,-1
3442,rotura,2024-06-28,abierta,"['894-53-9678', '689-06-8456', '893-45-7704']",['mnt-02388'],medio,-1
3443,desgaste,2024-04-04,cerrada,"['459-87-6188', '153-25-8493', '293-31-6681']",['mnt-05896'],medio,86
3444,rotura,2024-03-02,abierta,"['166-45-1302', '062-25-1291', '715-21-8049']","['mnt-07097', 'mnt-11098']",medio,-1
3445,desgaste,2024-05-07,abierta,"['551-29-5434', '996-27-8704', '603-85-7965']",['mnt-12041'],alto,-1
3446,desgaste,2024-09-20,cerrada,"['757-91-8458', '714-07-3920']","['mnt-01394', 'mnt-08723']",bajo,-1
3447,vandalismo,2024-08-06,abierta,['657-15-6397'],['mnt-06416'],alto,-1
3448,mal funcionamiento,2024-07-24,abierta,"['415-79-4573', '032-60-7992']","['mnt-00049', 'mnt-04085', 'mnt-07034']",medio,-1
3449,desgaste,2024-06-21,abierta,"['579-81-5309', '160-27-1504']","['mnt-07732', 'mnt-09676', 'mnt-14247']",bajo,-1
3450,desgaste,2023-10-31,cerrada,['463-13-0019'],['mnt-10204'],alto,289
3451,vandalismo,2024-09-25,cerrada,"['465-44-7641', '978-65-6427', '122-03-1429']","['mnt-06540', 'mnt-10177']",bajo,-1
3452,mal funcionamiento,2024-05-10,abierta,"['950-08-9271', '762-06-1670']",['mnt-10813'],medio,-1
3453,desgaste,2023-11-26,cerrada,"['897-64-5903', '001-57-5532', '852-51-1603']",['mnt-12735'],medio,72
3454,desgaste,2024-05-24,abierta,['591-78-5932'],"['mnt-02492', 'mnt-03711', 'mnt-11463']",alto,-1
3455,desgaste,2024-01-03,cerrada,"['822-69-6224', '658-70-2211', '066-61-4129']",['mnt-10024'],medio,-1
3456,rotura,2024-04-06,abierta,['191-47-0333'],"['mnt-00317', 'mnt-02278']",bajo,-1
3457,rotura,2023-10-28,cerrada,['215-51-7138'],"['mnt-10893', 'mnt-11486']",medio,127
3458,rotura,2024-02-16,cerrada,['426-10-7632'],['mnt-08516'],alto,156
3459,desgaste,2023-11-21,cerrada,"['371-79-6798', '529-92-4838']","['mnt-05015', 'mnt-07996']",bajo,139
3460,mal funcionamiento,2024-10-13,abierta,['124-75-9686'],['mnt-05509'],alto,-1
3461,rotura,2024-04-02,cerrada,"['096-34-7828', '032-43-1311', '091-45-9056']","['mnt-07603', 'mnt-09678']",medio,164
3462,rotura,2023-11-25,cerrada,"['109-26-8510', '674-69-6520']",['mnt-10281'],medio,72
3463,rotura,2024-02-16,abierta,"['079-32-7558', '138-40-8283']",['mnt-14571'],medio,-1
3464,desgaste,2024-05-08,abierta,"['813-75-1067', '391-15-9565']",['mnt-04581'],bajo,-1
3465,vandalismo,2024-12-06,cerrada,"['338-32-5006', '872-51-8000', '057-24-3834']",['mnt-04888'],medio,-1
3466,mal funcionamiento,2024-04-22,cerrada,"['384-45-7790', '838-32-0431']",['mnt-07692'],medio,-1
3467,rotura,2024-04-08,cerrada,['571-66-6912'],['mnt-08945'],medio,164
3468,vandalismo,2024-08-22,abierta,"['193-91-0988', '705-30-6484']","['mnt-07065', 'mnt-13129']",bajo,-1
3469,desgaste,2024-10-03,cerrada,['140-12-4409'],"['mnt-11427', 'mnt-12935']",alto,-1
3470,mal funcionamiento,2024-03-05,abierta,['631-71-4058'],['mnt-08839'],bajo,-1
3471,vandalismo,2023-02-11,abierta,['033-76-5597'],['mnt-14352'],alto,-1
3472,rotura,2024-09-20,abierta,"['094-77-0903', '383-55-1641']",['mnt-13840'],alto,-1
3473,desgaste,2024-02-10,cerrada,['421-68-1864'],['mnt-13695'],medio,-1
3474,rotura,2024-10-07,cerrada,['004-94-8541'],['mnt-08830'],bajo,-1
3475,desgaste,2024-06-27,cerrada,['678-57-7124'],['mnt-14337'],alto,-1
3476,vandalismo,2024-08-03,cerrada,"['698-91-3616', '549-37-3293']",['mnt-13309'],alto,-1
3477,mal funcionamiento,2024-02-04,cerrada,"['602-75-0663', '531-96-1177']",['mnt-10633'],alto,-1
3478,mal funcionamiento,2024-06-23,cerrada,"['768-35-5588', '465-44-7641']","['mnt-05542', 'mnt-09501']",bajo,-1
3479,vandalismo,2024-03-28,cerrada,['367-48-3813'],"['mnt-01923', 'mnt-10256']",bajo,162
3480,vandalismo,2024-12-04,cerrada,"['521-18-3037', '490-44-5928', '018-48-4998']",['mnt-01476'],alto,-1
3481,mal funcionamiento,2024-04-16,cerrada,"['907-76-1468', '566-86-5556']",['mnt-08434'],alto,-1
3482,vandalismo,2023-10-17,cerrada,['907-04-8058'],['mnt-04364'],medio,233
3483,rotura,2024-05-04,abierta,"['064-66-6327', '578-09-2334', '164-77-3475']","['mnt-04438', 'mnt-07330']",bajo,-1
3484,vandalismo,2023-09-12,cerrada,"['561-52-8209', '971-21-1868']",['mnt-13273'],alto,79
3485,desgaste,2023-12-24,cerrada,"['511-40-7077', '339-73-3287', '338-62-2815']",['mnt-05292'],bajo,76
3486,rotura,2024-04-28,abierta,['706-01-6175'],['mnt-12929'],alto,-1
3487,rotura,2023-12-05,abierta,"['073-44-6168', '972-36-3191']",['mnt-07018'],bajo,-1
3488,mal funcionamiento,2024-09-10,cerrada,"['160-29-1596', '567-03-6214', '841-11-0914']",['mnt-09033'],medio,-1
3489,vandalismo,2024-04-12,cerrada,['999-85-2760'],['mnt-12033'],bajo,146
3490,rotura,2024-08-26,cerrada,"['484-86-7299', '982-05-4846']",['mnt-14770'],medio,6
3491,desgaste,2024-09-06,abierta,"['744-67-7894', '802-63-7779']",['mnt-06105'],bajo,-1
3492,mal funcionamiento,2024-09-15,cerrada,"['971-78-4548', '128-05-8431', '171-95-1630']",['mnt-03779'],alto,-1
3493,mal funcionamiento,2024-06-06,abierta,"['149-88-9842', '038-84-3179']",['mnt-14783'],medio,-1
3494,desgaste,2023-11-21,cerrada,"['024-52-1883', '270-62-4905', '004-60-9357']",['mnt-08398'],bajo,263
3495,desgaste,2023-11-02,cerrada,"['854-91-9991', '541-92-0256', '668-40-9372']",['mnt-04787'],medio,-1
3496,rotura,2024-09-08,abierta,"['886-80-0320', '167-52-3189']",['mnt-08885'],alto,-1
3497,desgaste,2024-04-07,cerrada,"['358-84-0958', '726-71-3871']",['mnt-06469'],bajo,169
3498,rotura,2024-01-03,cerrada,['884-29-8945'],"['mnt-08423', 'mnt-09381']",medio,-1
3499,desgaste,2023-12-27,cerrada,"['233-67-0825', '513-34-7690']",['mnt-12126'],bajo,205
3500,rotura,2023-10-21,cerrada,['451-44-3607'],['mnt-00626'],bajo,266
3501,rotura,2023-11-02,cerrada,"['540-62-3145', '859-45-6969', '054-20-8890']",['mnt-00725'],bajo,29
3502,desgaste,2024-01-07,cerrada,['218-03-5755'],['mnt-10477'],alto,213
3503,rotura,2024-09-11,cerrada,"['821-10-3116', '780-97-3061', '261-50-9087']",['mnt-06190'],alto,-1
3504,mal funcionamiento,2024-07-20,abierta,['233-81-9819'],['mnt-12648'],bajo,-1
3505,rotura,2024-05-15,cerrada,['189-31-2541'],"['mnt-10526', 'mnt-13774']",alto,72
3506,mal funcionamiento,2024-03-12,abierta,"['733-00-5425', '858-94-2212']",['mnt-14145'],medio,-1
3507,vandalismo,2023-11-30,cerrada,"['789-17-0537', '616-88-1020', '665-33-5661']",['mnt-07692'],medio,99
3508,desgaste,2024-06-11,cerrada,"['797-83-0198', '999-44-0837', '052-80-9480']",['mnt-07991'],alto,31
3509,desgaste,2024-07-02,cerrada,"['873-69-2557', '045-65-0901']",['mnt-06747'],bajo,-1
3510,vandalismo,2024-03-28,abierta,['796-72-6510'],['mnt-09490'],alto,-1
3511,rotura,2024-04-12,cerrada,['646-97-3264'],['mnt-13114'],bajo,50
3512,rotura,2024-09-18,abierta,"['629-01-2754', '449-22-7294']",['mnt-00875'],bajo,-1
3513,mal funcionamiento,2024-03-25,abierta,"['423-30-0022', '585-92-4672', '389-38-0858']",['mnt-00034'],alto,-1
3514,vandalismo,2023-02-12,abierta,['415-79-4573'],['mnt-08320'],medio,-1
3515,desgaste,2024-01-25,cerrada,"['088-17-2720', '853-85-1467', '729-25-9421']",['mnt-04167'],bajo,-1
3516,desgaste,2023-11-10,cerrada,['876-80-0191'],['mnt-02568'],bajo,120
3517,mal funcionamiento,2024-10-01,abierta,"['605-88-5880', '575-59-4192']",['mnt-13822'],medio,-1
3518,vandalismo,2024-07-17,cerrada,"['467-94-4343', '121-84-6700']",['mnt-14321'],bajo,-1
3519,mal funcionamiento,2023-11-09,cerrada,"['459-73-0908', '895-18-3385', '606-79-8158']","['mnt-10504', 'mnt-12140']",medio,243
3520,rotura,2024-02-29,cerrada,"['824-16-5510', '832-63-8866']",['mnt-07434'],bajo,92
3521,mal funcionamiento,2024-07-05,cerrada,"['845-83-3267', '459-73-0908', '378-23-5256']","['mnt-01652', 'mnt-07166']",medio,77
3522,mal funcionamiento,2024-03-07,abierta,['287-42-1811'],['mnt-08993'],bajo,-1
3523,desgaste,2024-07-28,abierta,"['698-85-0155', '490-55-2532']",['mnt-13276'],medio,-1
3524,vandalismo,2024-04-27,abierta,"['139-99-3661', '291-71-0393']",['mnt-07877'],alto,-1
3525,rotura,2024-06-15,abierta,"['120-73-9615', '005-34-3633', '372-20-0276']",['mnt-10412'],medio,-1
3526,mal funcionamiento,2024-07-13,cerrada,"['364-33-8253', '195-74-3615']",['mnt-06695'],alto,-1
3527,desgaste,2024-07-04,abierta,"['168-36-8095', '869-10-9535']","['mnt-06268', 'mnt-12882']",alto,-1
3528,vandalismo,2024-07-22,cerrada,['231-15-9471'],['mnt-14949'],alto,-1
3529,mal funcionamiento,2024-10-01,cerrada,"['690-39-4985', '598-27-4670', '349-64-6699']",['mnt-06382'],bajo,-1
3530,rotura,2023-12-16,abierta,['295-80-5468'],['mnt-04202'],medio,-1
3531,vandalismo,2024-11-09,abierta,['685-01-0253'],['mnt-14780'],alto,-1
3532,desgaste,2024-05-03,cerrada,"['879-74-6774', '808-08-6639']","['mnt-03326', 'mnt-09426']",bajo,-1
3533,mal funcionamiento,2024-01-23,abierta,"['611-68-2609', '500-32-2564', '966-02-8203']","['mnt-04121', 'mnt-11107']",bajo,-1
3534,vandalismo,2024-04-28,cerrada,['030-23-9841'],['mnt-14826'],medio,-1
3535,desgaste,2024-12-09,abierta,['529-40-6347'],['mnt-10786'],bajo,-1
3536,vandalismo,2023-11-23,cerrada,"['475-95-6833', '265-53-8473']",['mnt-06944'],alto,230
3537,vandalismo,2023-11-28,cerrada,"['007-28-9700', '397-94-8782']",['mnt-13104'],alto,-1
3538,mal funcionamiento,2024-07-24,cerrada,['761-25-6963'],"['mnt-03138', 'mnt-10181']",medio,-1
3539,desgaste,2024-02-01,cerrada,"['542-60-6355', '566-39-5713']",['mnt-08436'],medio,182
3540,mal funcionamiento,2024-07-02,abierta,['620-62-4998'],['mnt-01766'],alto,-1
3541,mal funcionamiento,2024-03-18,cerrada,"['490-17-9693', '680-60-4940', '447-47-3396']",['mnt-14711'],medio,19
3542,rotura,2024-05-06,cerrada,['343-57-4122'],['mnt-07102'],bajo,-1
3543,mal funcionamiento,2023-12-30,cerrada,"['734-21-9116', '539-06-1461']","['mnt-04808', 'mnt-05736']",alto,-1
3544,vandalismo,2024-04-29,cerrada,['374-44-2172'],['mnt-05476'],medio,-1
3545,rotura,2024-09-25,cerrada,"['900-97-2038', '964-10-7108']",['mnt-08765'],medio,-1
3546,mal funcionamiento,2024-03-24,cerrada,"['876-26-3359', '200-37-7406']",['mnt-02826'],medio,28
3547,desgaste,2024-05-02,abierta,"['906-75-3105', '825-23-9850']",['mnt-13930'],medio,-1
3548,desgaste,2023-10-27,abierta,"['552-40-8326', '504-78-2370']",['mnt-13682'],bajo,-1
3549,rotura,2024-05-21,abierta,['740-11-6456'],['mnt-01252'],medio,-1
3550,rotura,2023-11-29,cerrada,"['715-22-9633', '351-18-7626', '710-79-0875']","['mnt-04170', 'mnt-12776']",alto,371
3551,rotura,2024-09-14,abierta,"['788-75-9233', '954-60-5446', '271-69-3715']","['mnt-02778', 'mnt-06660']",alto,-1
3552,vandalismo,2024-05-07,abierta,"['129-18-2439', '140-12-4409', '892-51-8894']",['mnt-05580'],alto,-1
3553,rotura,2024-02-19,abierta,"['778-65-5960', '893-32-2412']","['mnt-05593', 'mnt-14818']",bajo,-1
3554,vandalismo,2024-06-28,cerrada,['795-61-3398'],['mnt-02663'],bajo,80
3555,rotura,2023-06-11,abierta,"['741-12-8908', '280-51-8242', '550-30-7486']",['mnt-13114'],bajo,-1
3556,mal funcionamiento,2024-07-26,cerrada,['612-46-6155'],['mnt-00709'],alto,59
3557,vandalismo,2024-06-14,abierta,['453-16-2422'],['mnt-01435'],alto,-1
3558,mal funcionamiento,2024-09-14,cerrada,"['834-21-5230', '339-05-1528', '388-84-9539']","['mnt-01198', 'mnt-10191', 'mnt-13472']",alto,-1
3559,rotura,2024-11-04,cerrada,['918-02-3679'],['mnt-03170'],alto,-1
3560,mal funcionamiento,2024-04-27,cerrada,['033-55-5291'],['mnt-13759'],bajo,-1
3561,vandalismo,2024-05-24,abierta,"['284-83-7320', '635-68-9197', '359-01-0600']",['mnt-03671'],alto,-1
3562,desgaste,2024-05-31,cerrada,['269-56-7027'],['mnt-05265'],alto,156
3563,rotura,2024-10-12,abierta,"['325-01-8045', '275-83-0925']",['mnt-00107'],medio,-1
3564,desgaste,2024-10-05,cerrada,"['832-70-0251', '416-81-8573', '978-95-5637']",['mnt-11399'],bajo,-1
3565,vandalismo,2024-09-08,abierta,['266-21-3654'],['mnt-14561'],alto,-1
3566,desgaste,2024-08-08,abierta,"['783-67-8200', '949-30-1053']","['mnt-05597', 'mnt-13441']",alto,-1
3567,mal funcionamiento,2024-08-23,cerrada,"['100-79-1009', '291-91-6994', '454-63-3571']",['mnt-09394'],bajo,-1
3568,vandalismo,2024-08-08,cerrada,"['392-22-7479', '440-59-9181', '293-10-8465']",['mnt-08343'],bajo,51
3569,mal funcionamiento,2024-02-08,cerrada,"['047-72-0179', '552-40-8326', '840-79-1976']",['mnt-10825'],alto,181
3570,desgaste,2024-02-20,abierta,"['426-08-1843', '487-18-7481', '078-44-8304']",['mnt-09581'],alto,-1
3571,mal funcionamiento,2023-12-02,abierta,['286-74-7275'],"['mnt-01198', 'mnt-10191', 'mnt-13472']",bajo,-1
3572,desgaste,2024-10-10,cerrada,"['810-92-5903', '794-05-6596']",['mnt-01661'],alto,-1
3573,rotura,2024-01-31,cerrada,"['968-62-6856', '483-66-0424', '035-27-0413']","['mnt-00641', 'mnt-08940']",alto,140
3574,mal funcionamiento,2024-01-15,cerrada,['468-31-0024'],['mnt-02963'],medio,-1
3575,rotura,2024-03-13,abierta,"['927-00-0113', '675-72-1228', '288-22-3973']","['mnt-06895', 'mnt-08338']",bajo,-1
3576,mal funcionamiento,2024-11-07,abierta,['738-13-6032'],['mnt-09257'],alto,-1
3577,vandalismo,2024-03-31,abierta,['909-43-0576'],['mnt-04662'],alto,-1
3578,rotura,2024-06-18,abierta,"['129-17-1688', '549-91-6668']",['mnt-00857'],bajo,-1
3579,mal funcionamiento,2024-09-16,cerrada,"['415-58-9654', '127-65-7708']",['mnt-06185'],bajo,-1
3580,desgaste,2024-10-05,abierta,['559-53-7633'],['mnt-08959'],medio,-1
3581,vandalismo,2024-06-05,cerrada,"['488-94-3114', '742-69-7440']","['mnt-02934', 'mnt-05624']",medio,18
3582,mal funcionamiento,2024-08-02,abierta,"['331-17-1935', '254-71-2463']",['mnt-05292'],alto,-1
3583,vandalismo,2024-03-09,abierta,"['076-89-5303', '727-43-9847']",['mnt-02736'],alto,-1
3584,vandalismo,2024-09-27,cerrada,"['024-74-8386', '518-42-6097']",['mnt-05358'],medio,-1
3585,desgaste,2023-11-11,cerrada,['067-54-8038'],['mnt-04631'],alto,252
3586,vandalismo,2024-05-14,cerrada,"['128-62-0893', '513-25-4109']",['mnt-09167'],bajo,-1
3587,mal funcionamiento,2023-11-26,abierta,['773-05-1550'],"['mnt-01516', 'mnt-05665']",alto,-1
3588,rotura,2024-01-25,cerrada,"['765-33-0696', '407-65-6277']",['mnt-10582'],medio,-1
3589,rotura,2024-02-08,cerrada,"['299-65-6022', '379-51-0287']","['mnt-09061', 'mnt-13918']",alto,98
3590,rotura,2024-04-07,cerrada,"['096-28-0912', '488-71-5926', '574-88-6818']",['mnt-01261'],medio,-1
3591,rotura,2024-03-15,cerrada,['162-51-6439'],['mnt-03151'],medio,-1
3592,vandalismo,2024-01-19,cerrada,"['623-97-8217', '004-60-9357', '229-87-2554']","['mnt-03775', 'mnt-10923']",bajo,200
3593,mal funcionamiento,2024-01-10,cerrada,"['590-33-4284', '509-39-6212']",['mnt-07756'],alto,81
3594,mal funcionamiento,2024-08-04,abierta,"['712-55-5666', '859-71-5061', '027-55-3097']",['mnt-01910'],medio,-1
3595,mal funcionamiento,2024-02-24,cerrada,['906-68-0221'],"['mnt-02934', 'mnt-05624']",alto,120
3596,desgaste,2024-01-24,abierta,['724-76-6192'],['mnt-13571'],bajo,-1
3597,mal funcionamiento,2023-11-13,cerrada,"['759-67-0893', '944-63-6738', '174-53-2565']",['mnt-09011'],alto,105
3598,mal funcionamiento,2024-01-14,abierta,"['271-88-8360', '304-95-6354', '226-76-3002']",['mnt-09394'],alto,-1
3599,rotura,2023-10-22,abierta,['838-38-3541'],"['mnt-01967', 'mnt-04668']",medio,-1
3600,vandalismo,2024-02-22,cerrada,"['405-60-4958', '558-06-5415', '786-12-5397']",['mnt-12077'],bajo,-1
3601,rotura,2023-12-06,abierta,"['899-02-1891', '917-32-3631']","['mnt-02239', 'mnt-03372']",alto,-1
3602,desgaste,2024-07-25,abierta,"['704-91-9777', '490-92-2830', '872-03-0400']",['mnt-07778'],medio,-1
3603,vandalismo,2024-09-06,cerrada,"['184-09-3252', '865-44-6450', '641-25-2762']",['mnt-06334'],bajo,-1
3604,vandalismo,2024-09-08,cerrada,"['488-60-7670', '089-40-3151', '122-33-4219']",['mnt-00871'],bajo,30
3605,vandalismo,2024-07-26,abierta,"['061-25-8570', '511-46-7375']",['mnt-05112'],medio,-1
3606,desgaste,2024-08-15,cerrada,"['441-58-7853', '058-64-7627']","['mnt-01260', 'mnt-11257']",bajo,-1
3607,vandalismo,2024-09-24,cerrada,['774-91-4383'],['mnt-01438'],medio,-1
3608,desgaste,2024-01-15,cerrada,"['690-11-8503', '952-33-0330']",['mnt-13059'],bajo,20
3609,rotura,2024-04-05,abierta,"['477-00-4399', '139-48-7404', '390-42-0141']",['mnt-10503'],alto,-1
3610,rotura,2024-08-14,cerrada,"['381-36-3850', '176-03-9737', '517-79-3288']",['mnt-04069'],bajo,43
3611,desgaste,2024-04-30,abierta,"['483-42-2005', '023-14-6848']",['mnt-05484'],alto,-1
3612,vandalismo,2024-10-03,abierta,"['994-10-5070', '913-23-0100']",['mnt-00048'],alto,-1
3613,vandalismo,2023-11-12,abierta,"['222-20-2388', '231-47-7370']","['mnt-07218', 'mnt-08554', 'mnt-08629']",alto,-1
3614,mal funcionamiento,2024-03-28,abierta,"['800-06-1257', '397-20-2580']","['mnt-09177', 'mnt-10267']",alto,-1
3615,rotura,2024-07-04,cerrada,['857-72-6756'],['mnt-03148'],bajo,-1
3616,vandalismo,2024-03-20,abierta,['315-99-7254'],['mnt-08583'],alto,-1
3617,desgaste,2024-05-10,cerrada,"['255-99-0013', '213-81-7799']",['mnt-03779'],alto,-1
3618,rotura,2024-08-23,cerrada,['667-62-8530'],['mnt-00262'],bajo,-1
3619,desgaste,2024-04-25,cerrada,['188-99-6815'],['mnt-11871'],medio,71
3620,rotura,2024-03-08,cerrada,"['310-82-1125', '103-69-7333', '797-63-0587']",['mnt-07577'],alto,-1
3621,rotura,2024-03-09,cerrada,['081-71-8568'],['mnt-09732'],bajo,39
3622,vandalismo,2024-03-07,cerrada,"['059-35-9637', '086-12-3945', '524-43-2062']",['mnt-10849'],bajo,23
3623,desgaste,2024-01-20,cerrada,['157-12-5002'],['mnt-08572'],alto,53
3624,vandalismo,2023-12-13,abierta,"['206-18-1456', '536-88-7216']","['mnt-04152', 'mnt-05684']",bajo,-1
3625,rotura,2024-04-09,cerrada,"['602-36-1059', '000-68-7775']",['mnt-14569'],medio,146
3626,rotura,2024-02-21,cerrada,"['180-99-9379', '798-42-8200', '552-84-7359']",['mnt-13092'],bajo,133
3627,mal funcionamiento,2023-11-14,abierta,"['013-75-3829', '690-66-1925', '685-05-5652']","['mnt-01916', 'mnt-04239', 'mnt-12824']",alto,-1
3628,mal funcionamiento,2024-12-09,cerrada,"['900-56-8489', '602-70-0869']",['mnt-06664'],bajo,-1
3629,vandalismo,2024-03-03,abierta,['989-03-9315'],['mnt-10134'],bajo,-1
3630,rotura,2024-04-24,cerrada,['777-34-1822'],['mnt-05782'],alto,-1
3631,mal funcionamiento,2024-12-04,cerrada,"['310-67-5019', '525-57-2579']",['mnt-10107'],alto,-1
3632,rotura,2024-04-10,cerrada,"['832-26-7696', '282-69-2115']",['mnt-11230'],alto,-1
3633,vandalismo,2024-06-13,cerrada,"['074-25-1820', '662-04-5037', '641-80-7386']",['mnt-10027'],medio,-1
3634,vandalismo,2023-10-16,abierta,"['316-43-3437', '895-59-3506']",['mnt-06588'],bajo,-1
3635,rotura,2023-12-03,abierta,"['543-06-3252', '120-81-6574']","['mnt-02423', 'mnt-14662']",bajo,-1
3636,mal funcionamiento,2024-12-10,cerrada,"['635-68-9197', '633-86-4051', '991-42-8566']",['mnt-03228'],bajo,-1
3637,vandalismo,2024-09-20,cerrada,"['459-88-0055', '891-42-5359', '321-68-0919']",['mnt-00725'],medio,-1
3638,vandalismo,2024-06-19,cerrada,"['547-54-4935', '356-26-3753']",['mnt-09765'],medio,-1
3639,rotura,2024-02-16,abierta,['825-67-5245'],['mnt-02580'],medio,-1
3640,desgaste,2023-11-25,cerrada,"['729-24-3130', '486-83-0979', '617-05-7731']",['mnt-03139'],alto,-1
3641,vandalismo,2024-03-29,abierta,['005-71-8797'],"['mnt-06945', 'mnt-12067']",alto,-1
3642,mal funcionamiento,2024-05-15,cerrada,"['313-98-4941', '863-91-8631', '393-40-4633']",['mnt-11898'],alto,149
3643,mal funcionamiento,2024-07-27,abierta,['054-36-6546'],['mnt-07873'],bajo,-1
3644,rotura,2023-12-09,abierta,"['213-30-1122', '753-81-8327']",['mnt-05489'],bajo,-1
3645,rotura,2024-07-13,cerrada,"['903-42-0545', '346-80-6238']","['mnt-11297', 'mnt-14831']",bajo,-1
3646,vandalismo,2024-08-19,abierta,"['443-60-1666', '297-11-6180']",['mnt-03916'],alto,-1
3647,rotura,2024-09-02,abierta,"['004-68-5916', '922-18-0355']",['mnt-07686'],alto,-1
3648,rotura,2024-01-16,cerrada,['513-68-3233'],"['mnt-01916', 'mnt-04239', 'mnt-12824']",medio,243
